Mes	idGerencia	Meta
2019-09-01	1	719494.83
2019-09-01	5	387260.42
2019-09-01	2	479469.46
2019-09-01	6	567674.60
2019-09-01	3	595694.13
2019-09-01	4	490148.56
2019-10-01	1	1025656.10
2019-10-01	5	312502.69
2019-10-01	2	421442.19
2019-10-01	6	405896.29
2019-10-01	3	463868.65
2019-10-01	4	527203.58
2019-11-01	1	790950.60
2019-11-01	5	496290.80
2019-11-01	2	236295.55
2019-11-01	6	279599.11
2019-11-01	3	288641.53
2019-11-01	4	230219.43
2019-12-01	1	480172.46
2019-12-01	5	248761.38
2019-12-01	2	249276.83
2019-12-01	6	343374.60
2019-12-01	3	314979.16
2019-12-01	4	231155.40
2020-01-01	1	467891.29
2020-01-01	5	223761.92
2020-01-01	2	206921.83
2020-01-01	6	272612.83
2020-01-01	3	582875.24
2020-01-01	4	367700.29
2020-02-01	1	488040.36
2020-02-01	5	318305.77
2020-02-01	2	337366.32
2020-02-01	6	430040.99
2020-02-01	3	531096.06
2020-02-01	4	194906.26
2020-03-01	1	409044.34
2020-03-01	5	296173.44
2020-03-01	2	275010.78
2020-03-01	6	235507.82
2020-03-01	3	413871.15
2020-03-01	4	189292.53
2020-04-01	1	318404.54
2020-04-01	5	173541.84
2020-04-01	2	136548.40
2020-04-01	6	182560.02
2020-04-01	3	406349.70
2020-04-01	4	157226.45
2020-05-01	1	322160.92
2020-05-01	5	197946.30
2020-05-01	2	168075.41
2020-05-01	6	239191.11
2020-05-01	3	556875.61
2020-05-01	4	189679.31
2020-06-01	1	381824.64
2020-06-01	5	212909.77
2020-06-01	2	193926.91
2020-06-01	6	217736.74
2020-06-01	3	518614.99
2020-06-01	4	237304.07
2020-07-01	1	425108.37
2020-07-01	5	206253.11
2020-07-01	2	170303.31
2020-07-01	6	427641.43
2020-07-01	3	1207731.20
2020-07-01	4	471888.92
2020-08-01	1	832323.76
2020-08-01	5	222750.84
2020-08-01	2	277410.94
2020-08-01	6	268367.55
2020-08-01	3	566483.14
2020-08-01	4	264627.72
2020-09-01	1	950843.17
2020-09-01	5	218321.72
2020-09-01	2	222017.05
2020-09-01	6	238651.60
2020-09-01	3	456829.72
2020-09-01	4	263716.54
2020-10-01	1	438589.90
2020-10-01	5	202067.54
2020-10-01	2	570505.90
2020-10-01	6	217889.42
2020-10-01	3	590203.06
2020-10-01	4	570505.90
2020-11-01	1	388805.62
2020-11-01	5	244851.23
2020-11-01	2	221272.86
2020-11-01	6	570505.90
2020-11-01	3	471396.98
2020-11-01	4	183899.12
2020-12-01	1	341604.12
2020-12-01	5	227132.88
2020-12-01	2	194737.64
2020-12-01	6	226805.60
2020-12-01	3	482118.36
2020-12-01	4	185438.55
